,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts
1,1,Liverpool,38,32,3,3,85,33,52,99
2,2,Manchester City,38,26,3,9,102,35,67,81
3,3,Manchester Utd,38,18,12,8,66,36,30,66
4,4,Chelsea,38,20,6,12,69,54,15,66
5,5,Leicester City,38,18,8,12,67,41,26,62
6,6,Tottenham,38,16,11,11,61,47,14,59
7,7,Wolves,38,15,14,9,51,40,11,59
8,8,Arsenal,38,14,14,10,56,48,8,56
9,9,Sheffield Utd,38,14,12,12,39,39,0,54
10,10,Burnley,38,15,9,14,43,50,-7,54
11,11,Southampton,38,15,7,16,51,60,-9,52
12,12,Everton,38,13,10,15,44,56,-12,49
13,13,Newcastle Utd,38,11,11,16,38,58,-20,44
14,14,Crystal Palace,38,11,10,17,31,50,-19,43
15,15,Brighton,38,9,14,15,39,54,-15,41
16,16,West Ham,38,10,9,19,49,62,-13,39
17,17,Aston Villa,38,9,8,21,41,67,-26,35
18,18,Bournemouth,38,9,7,22,40,65,-25,34
19,19,Watford,38,8,10,20,36,64,-28,34
20,20,Norwich City,38,5,6,27,26,75,-49,21
21,1,Liverpool,14,9,4,1,36,19,17,31
22,2,Everton,14,8,2,4,25,19,6,26
23,3,Tottenham,13,7,4,2,25,12,13,25
24,4,Leicester City,13,8,0,5,24,17,7,24
25,5,Southampton,14,7,3,4,25,19,6,24
26,6,Manchester City,13,6,5,2,19,12,7,23
27,7,Manchester Utd,12,7,2,3,22,19,3,23
28,8,Chelsea,13,6,4,3,26,14,12,22
29,9,West Ham,13,6,3,4,21,16,5,21
30,10,Wolves,13,6,2,5,13,17,-4,20
31,11,Aston Villa,11,6,1,4,21,13,8,19
32,12,Newcastle Utd,13,5,3,5,17,22,-5,18
33,13,Crystal Palace,14,5,3,6,19,25,-6,18
34,14,Leeds United,13,5,2,6,22,24,-2,17
35,15,Arsenal,14,4,2,8,12,18,-6,14
36,16,Brighton,13,2,5,6,15,21,-6,11
37,17,Fulham,14,2,4,8,13,23,-10,10
38,18,Burnley,12,2,4,6,6,18,-12,10
39,19,West Brom,13,1,4,8,10,26,-16,7
40,20,Sheffield Utd,13,0,1,12,7,24,-17,1
